央视频道,#genre#
CCTV-1,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8#http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.104.239.114:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://114.246.201.137:7088/rtp/239.3.1.60:8084#http://218.104.239.114:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.212.84.190:54123/udp/239.93.1.23:6000#http://omnix.cn:4000/udp/225.1.8.2:8084#http://php.jdshipin.com/TVOD/hljyd.phpid=3221225588#http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8#http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8#http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&amp;RTS=1713968070&amp;from=4&amp;hms_devid=692&amp;prioritypopid=4&amp;online=1713968070&amp;vqe=3
CCTV-3综艺,http://222.212.84.190:54123/udp/239.93.1.11:2223#http://119.32.12.17:2901/udp/224.1.100.64:11111#http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021#http://[2409:8087:1a01:df::4041]/TVOD/88888888/224/3221225799/main.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8#http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225799/1.m3u8#http://61.184.46.85:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.104.239.114:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.212.84.190:54123/udp/239.93.1.11:2223#http://119.32.12.17:2901/udp/224.1.100.64:11111#http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021#http://[2409:8087:1a01:df::4041]/TVOD/88888888/224/3221225799/main.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8#http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV-4中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225797/1.m3u8#https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-5体育,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8#http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8#http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225818/1.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8
CCTV-01咪咕,http://goo.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://goo.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://goo.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://goo.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://goo.bkpcp.top/mg/cctv5
